PrePost,Surveys,u,p
pre_Norm_post_Norm : pre_Norm_post_High,Pre_f16_cum_GPA : Pre_f16_cum_GPA,647.5,0.3219212504423812
pre_Norm_post_Norm : pre_Norm_post_High,Post_S17_cum_gpa : Post_S17_cum_gpa,606.5,0.5416479182472722
pre_Norm_post_Norm : pre_Norm_post_High,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,469.5,0.5173730953137061
pre_Norm_post_Norm : pre_Norm_post_High,Post_S17_term_gpa : Post_S17_term_gpa,563.5,0.8315123078118243
pre_Norm_post_Norm : pre_Norm_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,486.0,0.15003913105697061
pre_Norm_post_Norm : pre_Norm_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,523.5,0.06180971675156801
pre_Norm_post_Norm : pre_Norm_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,416.5,0.5210326379454358
pre_Norm_post_Norm : pre_Norm_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,499.5,0.11111130528286137
pre_Norm_post_Norm : pre_High_post_Norm,Pre_f16_cum_GPA : Pre_f16_cum_GPA,690.5,0.27778653213935256
pre_Norm_post_Norm : pre_High_post_Norm,Post_S17_cum_gpa : Post_S17_cum_gpa,600.0,0.08140436403896248
pre_Norm_post_Norm : pre_High_post_Norm,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,797.5,0.759875286275392
pre_Norm_post_Norm : pre_High_post_Norm,Post_S17_term_gpa : Post_S17_term_gpa,606.5,0.08980412231492299
pre_Norm_post_Norm : pre_Low_post_Norm,Pre_f16_cum_GPA : Pre_f16_cum_GPA,450.0,0.05932174927314904
pre_Norm_post_Norm : pre_Low_post_Norm,Post_S17_cum_gpa : Post_S17_cum_gpa,301.5,0.9899457030127963
pre_Norm_post_Norm : pre_Low_post_Norm,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,167.5,0.09618199190757197
pre_Norm_post_Norm : pre_Low_post_Norm,Post_S17_term_gpa : Post_S17_term_gpa,248.0,0.5162090396093333
pre_Norm_post_Norm : pre_High_post_High,Pre_f16_cum_GPA : Pre_f16_cum_GPA,284.0,0.3865158010634695
pre_Norm_post_Norm : pre_High_post_High,Post_S17_cum_gpa : Post_S17_cum_gpa,297.0,0.4739124905289732
pre_Norm_post_Norm : pre_High_post_High,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,410.0,0.5705231072238166
pre_Norm_post_Norm : pre_High_post_High,Post_S17_term_gpa : Post_S17_term_gpa,326.0,0.7009301034025317
pre_Norm_post_Norm : pre_Low_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Norm_post_Norm : pre_Low_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Norm_post_Norm : pre_Low_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Norm_post_Norm : pre_Low_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_Norm_post_Norm : pre_Low_post_High,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Norm_post_Norm : pre_Low_post_High,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Norm_post_Norm : pre_Low_post_High,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Norm_post_Norm : pre_Low_post_High,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_Norm_post_High : pre_Norm_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,29.0,0.8596837951986661
pre_Norm_post_High : pre_Norm_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,38.0,0.2159249389401403
pre_Norm_post_High : pre_Norm_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,31.0,0.6799884022342944
pre_Norm_post_High : pre_Norm_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,38.0,0.21510394870109384
pre_Norm_post_High : pre_High_post_Norm,Pre_f16_cum_GPA : Pre_f16_cum_GPA,43.5,0.23077354652331117
pre_Norm_post_High : pre_High_post_Norm,Post_S17_cum_gpa : Post_S17_cum_gpa,37.0,0.1078486118966695
pre_Norm_post_High : pre_High_post_Norm,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,68.5,0.7524882116395618
pre_Norm_post_High : pre_High_post_Norm,Post_S17_term_gpa : Post_S17_term_gpa,45.0,0.26731441948135815
pre_Norm_post_High : pre_Low_post_Norm,Pre_f16_cum_GPA : Pre_f16_cum_GPA,29.0,0.4237107971667934
pre_Norm_post_High : pre_Low_post_Norm,Post_S17_cum_gpa : Post_S17_cum_gpa,19.5,0.738605769516278
pre_Norm_post_High : pre_Low_post_Norm,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,14.0,0.2861223843910182
pre_Norm_post_High : pre_Low_post_Norm,Post_S17_term_gpa : Post_S17_term_gpa,18.0,0.5933966200428358
pre_Norm_post_High : pre_High_post_High,Pre_f16_cum_GPA : Pre_f16_cum_GPA,13.5,0.12516884792393687
pre_Norm_post_High : pre_High_post_High,Post_S17_cum_gpa : Post_S17_cum_gpa,20.0,0.4436570559117131
pre_Norm_post_High : pre_High_post_High,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,40.0,0.14000382071973902
pre_Norm_post_High : pre_High_post_High,Post_S17_term_gpa : Post_S17_term_gpa,23.0,0.6786303935241988
pre_Norm_post_High : pre_Low_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Norm_post_High : pre_Low_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Norm_post_High : pre_Low_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Norm_post_High : pre_Low_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_Norm_post_High : pre_Low_post_High,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Norm_post_High : pre_Low_post_High,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Norm_post_High : pre_Low_post_High,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Norm_post_High : pre_Low_post_High,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_Norm_post_High : pre_High_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Norm_post_High : pre_High_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Norm_post_High : pre_High_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Norm_post_High : pre_High_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_Norm_post_Low : pre_High_post_Norm,Pre_f16_cum_GPA : Pre_f16_cum_GPA,15.5,0.03186834827767738
pre_Norm_post_Low : pre_High_post_Norm,Post_S17_cum_gpa : Post_S17_cum_gpa,15.5,0.03173951303654541
pre_Norm_post_Low : pre_High_post_Norm,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,34.5,0.5634093799505722
pre_Norm_post_Low : pre_High_post_Norm,Post_S17_term_gpa : Post_S17_term_gpa,19.0,0.062293947292989565
pre_Norm_post_Low : pre_Low_post_Norm,Pre_f16_cum_GPA : Pre_f16_cum_GPA,18.0,0.6480768681391461
pre_Norm_post_Low : pre_Low_post_Norm,Post_S17_cum_gpa : Post_S17_cum_gpa,8.0,0.23533326650958586
pre_Norm_post_Low : pre_Low_post_Norm,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,6.0,0.12069080052744556
pre_Norm_post_Low : pre_Low_post_Norm,Post_S17_term_gpa : Post_S17_term_gpa,7.0,0.16699411792618535
pre_Norm_post_Low : pre_High_post_High,Pre_f16_cum_GPA : Pre_f16_cum_GPA,8.0,0.12820527503039147
pre_Norm_post_Low : pre_High_post_High,Post_S17_cum_gpa : Post_S17_cum_gpa,6.0,0.06555216116550257
pre_Norm_post_Low : pre_High_post_High,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,16.0,0.8095268319140044
pre_Norm_post_Low : pre_High_post_High,Post_S17_term_gpa : Post_S17_term_gpa,8.0,0.126869349311055
pre_Norm_post_Low : pre_Low_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Norm_post_Low : pre_Low_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Norm_post_Low : pre_Low_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Norm_post_Low : pre_Low_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_Norm_post_Low : pre_Low_post_High,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Norm_post_Low : pre_Low_post_High,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Norm_post_Low : pre_Low_post_High,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Norm_post_Low : pre_Low_post_High,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
