subjectID,Pre_Res,Post_Res,Pre_f16_cum_GPA,Post_S17_cum_gpa,Post_S17_change_in_cum_gpa,Post_S17_term_gpa
156,0,0,3.38,3.41,0.03,3.46
180,0,-1,3.49,3.55,0.06,3.6
176,0,1,2.5,2.41,-0.09,2.33
236,0,0,3.29,3.4,0.11,3.51
343,1,1,3.79,3.63,-0.16,3.5
174,0,0,3.21,3.64,0.43,4.0
307,0,0,2.67,2.89,0.22,3.13
117,0,0,2.4,2.84,0.44,3.19
183,1,1,3.41,3.3,-0.11,3.19
329,0,0,2.84,2.99,0.15,3.12
335,0,0,3.55,3.27,-0.28,3.02
214,0,1,4,4.0,0.0,4.0
246,0,0,2.74,3.09,0.35,3.46
208,0,0,2.65,3.13,0.48,3.53
179,0,0,3.07,2.75,-0.32,2.43
215,0,0,3.79,3.9,0.11,4.0
282,0,0,2.93,3.25,0.32,3.57
120,1,0,3.8,3.9,0.1,4.0
163,1,0,3.52,3.49,-0.03,3.46
357,0,0,4,4.0,0.0,4.0
167,0,0,4,4.0,0.0,4.0
164,1,1,3.26,3.15,-0.11,3.04
196,0,0,3.79,3.47,-0.32,3.18
124,0,0,4,4.0,0.0,4.0
144,1,1,3.05,2.89,-0.16,2.73
166,0,0,2,1.8,-0.2,1.5
143,1,0,3.21,3.35,0.14,3.49
332,0,0,3.4,,,
241,0,0,3.81,3.7,-0.11,3.6
218,0,0,4,4.0,0.0,4.0
198,0,0,3.3,3.1,-0.2,2.94
267,0,1,3,3.48,0.48,3.79
201,0,1,3.71,3.75,0.04,3.79
281,0,0,3.46,3.48,0.02,3.5
289,0,0,2.76,3.0,0.24,3.23
136,0,0,3.23,3.36,0.13,3.49
347,0,0,3.74,3.74,0.0,3.74
284,0,0,3,3.33,0.33,3.6
189,0,0,4,3.77,-0.23,3.56
242,0,0,3.49,3.51,0.02,3.54
216,0,0,3.16,3.37,0.21,3.56
123,1,0,3.46,3.76,0.3,4.0
194,1,0,3.76,3.6,-0.16,3.38
270,0,0,2.75,2.5,-0.25,2.28
308,0,0,3.74,3.55,-0.19,3.39
271,0,0,3.39,3.47,0.08,3.55
264,0,0,2.91,3.16,0.25,3.4
109,0,-1,3.09,2.81,-0.28,2.6
311,0,0,3.21,2.85,-0.36,2.49
322,0,0,2.9,3.11,0.21,3.36
102,0,0,3.61,3.58,-0.03,3.56
172,0,0,2.91,2.72,-0.19,2.61
104,0,0,3.21,3.25,0.04,3.3
353,0,0,3.62,3.72,0.1,3.81
129,0,0,4,3.68,-0.32,3.4
344,0,0,4,3.69,-0.31,3.44
287,0,-1,3.39,3.49,0.1,3.6
