SubjectID,WEEK1_EMA_EVENING,WEEK1_PRODUCTIVE,WEEK1_BELONGING,WEEK1_DISCRIMINATION,WEEK1_EMO_DRAINED,WEEK1_TALKSTRESS,WEEK1_LITTLESLEEP,WEEK1_PROFCARES,WEEK1_HOMESICK,WEEK1_EXERCISE,WEEK1_EMA_MORNING,WEEK1_ACTIVITY_ACADEMIC,WEEK1_ACADEMIC_percentage,WEEK1_ACTIVITY_PERSONAL,WEEK1_PERSONAL_percentage,WEEK1_TIRED_AM,WEEK1_DRINK,WEEK1_DRUGS,WEEK1_drinkdrugs_alone,WEEK1_negative_cons,WEEK1_SLEEP,WEEK1_HrsBed_Avg,WEEK1_HrsAsleep_Avg,WEEK1_HrsBed_Weekday_Avg,WEEK1_HrsAsleep_Weekday_Avg,WEEK1_HrsBed_Weekend_Avg,WEEK1_HrsAsleep_Weekend_Avg,WEEK1_TODAY_STRESSFUL,WEEK1_M_STRESS,WEEK1_M_CONTROL,WEEK1_A1_STRESS,WEEK1_A1_CONTROL,WEEK1_A1_SUCCESS_COPING,WEEK1_A2_STRESS,WEEK1_A2_CONTROL,WEEK1_A2_SUCCESS_COPING,WEEK1_E_STRESS,WEEK1_E_CONTROL,WEEK1_E_SUCCESS_COPING,D1_W1_Stress,D2_W1_Stress,D3_W1_Stress,D4_W1_Stress,D5_W1_Stress,D6_W1_Stress,D7_W1_Stress,WEEK1_STRESS,D1_W1_GaveSupport,D2_W1_GaveSupport,D3_W1_GaveSupport,D4_W1_GaveSupport,D5_W1_GaveSupport,D6_W1_GaveSupport,D7_W1_GaveSupport,D1_W1_ReceivedSupport,D2_W1_ReceivedSupport,D3_W1_ReceivedSupport,D4_W1_ReceivedSupport,D5_W1_ReceivedSupport,D6_W1_ReceivedSupport,D7_W1_ReceivedSupport,WEEK1_GaveSupport,WEEK1_ReceivedSupport,WEEK2,WEEK2_PRODUCTIVE,WEEK2_BELONGING,WEEK2_DISCRIMINATION,WEEK2_EMO_DRAINED,WEEK2_TALKSTRESS,WEEK2_LITTLESLEEP,WEEK2_PROFCARES,WEEK2_HOMESICK,WEEK2_EXERCISE,WEEK_2_EMA_MORNING,WEEK2_ACTIVITY_ACADEMIC,WEEK2_ACADEMIC_percentage,WEEK2_ACTIVITY_PERSONAL,WEEK2_PERSONAL_percentage,WEEK2_TIRED_AM,WEEK2_DRINK,WEEK2_DRUGS,WEEK2_drinkdrugs_alone,WEEK2_negative_cons,WEEK2_SLEEP,WEEK2_HrsBed_Avg,WEEK2_HrsAsleep_Avg,WEEK2_HrsBed_Weekday_avg,WEEK2_HrsAsleep_Weekday_avg,WEEK2_HrsBed_Weekend_avg,WEEK2_HrsAsleep_Weekend_avg,WEEK2_TODAY_STRESSFUL,WEEK2_M_STRESS,WEEK2_M_CONTROL,WEEK2_M_SUCCESS_COPING,WEEK2_A1_STRESS,WEEK2_A1_CONTROL,WEEK2_A1_SUCCESS_COPING,WEEK2_A2_STRESS,WEEK2_A2_CONTROL,WEEK2_A2_SUCCESS_COPING,WEEK2_E_STRESS,WEEK2_E_CONTROL,WEEK2_E_SUCCESS_COPING,D1_W2_Stress,D2_W2_Stress,D3_W2_Stress,D4_W2_Stress,D5_W2_Stress,D6_W2_Stress,D7_W2_Stress,WEEK2_STRESS,D1_W2_GaveSupport,D2_W2_GaveSupport,D3_W2_GaveSupport,D4_W2_GaveSupport,D5_W2_GaveSupport,D6_W2_GaveSupport,D7_W2_GaveSupport,D1_W2_ReceivedSupport,D2_W2_ReceivedSupport,D3_W2_ReceivedSupport,D4_W2_ReceivedSupport,D5_W2_ReceivedSupport,D6_W2_ReceivedSupport,D7_W2_ReceivedSupport,WEEK2_GaveSupport,WEEK2_ReceivedSupport,WEEK3,WEEK3_PRODUCTIVE,WEEK3_BELONGING,WEEK3_DISCRIMINATION,WEEK3_EMO_DRAINED,WEEK3_TALKSTRESS,WEEK3_LITTLESLEEP,WEEK3_PROFCARES,WEEK3_HOMESICK,WEEK3_EXERCISE,EMA_MORNING,WEEK3_ACTIVITY_ACADEMIC,WEEK3_ACADEMIC_percentage,WEEK3_ACTIVITY_PERSONAL,WEEK3_PERSONAL_percentage,WEEK3_TIRED_AM,WEEK3_DRINK,WEEK3_DRUGS,WEEK3_drinkdrugs_alone,WEEK3_negative_cons,WEEK3_SLEEP,WEEK3_HrsBed_avg,WEEK3_HrsAsleep_avg,WEEK3_HrsBed_Weekday_avg,WEEK3_HrsAsleep_Weekday_avg,WEEK3_HrsBed_Weekend_avg,WEEK3_HrsAsleep_Weekend_avg,WEEK3_TODAY_STRESSFUL,WEEK3_M_STRESS,WEEK3_M_CONTROL,WEEK3_M_SUCCESS_COPING,WEEK3_A1_STRESS,WEEK3_A1_CONTROL,WEEK3_A1_SUCCESS_COPING,WEEK3_A2_STRESS,WEEK3_A2_CONTROL,WEEK3_A2_SUCCESS_COPING,WEEK3_E_STRESS,WEEK3_E_CONTROL,WEEK3_E_SUCCESS_COPING,D1_W3_Stress,D2_W3_Stress,D3_W3_Stress,D4_W3_Stress,D5_W3_Stress,D6_W3_Stress,D7_W3_Stress,WEEK3_STRESS,D1_W3_GaveSupport,D2_W3_GaveSupport,D3_W3_GaveSupport,D4_W3_GaveSupport,D5_W3_GaveSupport,D6_W3_GaveSupport,D7_W3_GaveSupport,D1_W3_ReceivedSupport,D2_W3_ReceivedSupport,D3_W3_ReceivedSupport,D4_W3_ReceivedSupport,D5_W3_ReceivedSupport,D6_W3_ReceivedSupport,D7_W3_ReceivedSupport,WEEK3_GaveSupport,WEEK3_ReceivedSupport
156, ,3,6,0,2.5,4,3,3.5,1,30, , , , , , , , , , , , , , , , , , , , ,1,2,3,2,4,3,3,4.5,2, , , , ,3,1.5,3,2.25,999,999,999,999,0,999,1,999,999,999,999,1,999,0, , , ,1.857142857,4.857142857,0,2.285714286,3.714285714,3.571428571,2.714285714,1.285714286,40, , , ,1,3.571428571,1,0,0,0,0, ,5:40:00,5:30:00,5:40:00,5:30:00, , ,0.8,0.6,0.8,1.6,1.166666667,1,1.166666667,1.142857143,1,1.857142857,1,2.285714286,2.142857143,0.25,0,1.5,1.666666667,1.333333333,1.333333333,1.25,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,5,2, ,1.571428571,4.142857143,0,3.428571429,3.571428571,3.857142857,4,1,60, , , ,0,0,1.166666667,1,0,0,0, ,7:18:00,7:11:00,6:52:00,6:46:00,10:04:00,9:41:00,0.5,1,1.166666667,2.666666667,0.833333333,1,2.333333333,0.833333333,1.5,2.833333333,1.285714286,2,2.428571429,1.25,1,0.75,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0
180, ,1.833333333,5.5,0,3.166666667,3.333333333,3.333333333,2.833333333,2.5,0, ,21,75,4,14.28571429,0.285714286,0,0,0,0, ,10:50:00,10:06:00,10:40:00,9:57:00,11:15:00,10:30:00,0.857142857,0.857142857,0.857142857,1,1.166666667,0.833333333,1,1,1.333333333,1.333333333,2.166666667,1.166666667,1,1.25,0.5,0.25,1.25,1.25,2,1.04,999,0,0,1,1,0,0,999,0,0,1,1,0,0,2,2, ,1.857142857,5.857142857,0,3.714285714,4.142857143,3.428571429,3.142857143,2.857142857,8.571428571, ,21,75,0,0,0.428571429,0,0,0,0, ,9:50:00,9:36:00,9:43:00,9:32:00,10:07:00,9:47:00,1.571428571,1.857142857,1,0.571428571,1.428571429,0.857142857,0.714285714,1.142857143,0.571428571,1,1.857142857,1.857142857,1.142857143,0,0.5,0.75,2.5,3,2.5,1.75,1.571428571,1,1,0,0,1,0,0,1,0,0,0,1,0,0,3,2, ,2.428571429,5.571428571,0,4.142857143,4.714285714,4.714285714,3.285714286,3,14.28571429, ,14,50,0,0,0.714285714,0,0,0,0, ,10:10:00,9:31:00,9:50:00,9:11:00,10:52:00,10:20:00,2,2.285714286,1.571428571,1.285714286,2.285714286,2.142857143,1,2.6,2.4,1.4,2,3.285714286,1.285714286,2.5,1.666666667,1.666666667,3.75,2,1.5,2.5,2.269230769,1,1,1,0,1,1,1,0,0,0,0,0,0,0,6,0
176, ,1.666666667,5,0,4,4,4.333333333,3,2,60, ,5,17.85714286,0,0,1.571428571,0,0,0,0, ,8:30:00,9:42:00,8:42:00,10:33:00,8:00:00,7:37:00,1.5,0.714285714,0.333333333,0.4,0.2,1.2,0.8,0.6,1.4,0.666666667,1.666666667,1.333333333,2,1.333333333,0.5,0.666666667,0,0,0.5,0.65,999,999,0,0,999,0,999,999,999,0,0,999,0,999, , , ,1.8,4.4,1,3.4,4.2,3.8,3.2,1.2,30, , , ,0,0,1,0,0,0,0, ,8:22:00,8:05:00,8:15:00,7:56:00,8:37:00,8:22:00,0.666666667,0,0,0.666666667,0.333333333,0.166666667,1.166666667,0,0,1.285714286,0.166666667,1.166666667,0.5,0,0,0.25,0,0,0.666666667,0,0.12,1,999,0,999,0,0,0,1,999,0,999,0,0,0,1,1, ,2,4.166666667,0,3.833333333,3.833333333,4,3.333333333,1,6.666666667, ,11,39.28571429,0,0,2.142857143,0,0,0,0, ,7:53:00,7:30:00,8:09:00,7:42:00,8:30:00,8:07:00,2.333333333,0,0.833333333,1.5,0,0,1,0,0.428571429,1.142857143,0.5,1.333333333,1.166666667,0.25,0,0,0,0.25,0.25,0,0.111111111,0,0,999,0,0,0,0,0,0,999,0,0,0,0,0,0
236, ,0.2,1.2,0,2,2.4,1.2,1,5,0, ,8,28.57142857,0,0,2.571428571,0,1,0,0, ,9:26:00,9:06:00,9:33:00,9:06:00,9:07:00,9:07:00,2.285714286,0.857142857,1.571428571,0.5,1.166666667,1,0.6,0.6,1.6,0.8,2.6,0.8,0,1.333333333,0.333333333,0.75,1.25,0.333333333,0.5,0.695652174,999,999,0,0,0,0,0,999,999,0,0,0,0,0,0,0, ,1.142857143,1.142857143,0,2.428571429,3.142857143,3.285714286,1.142857143,2.142857143,24.28571429, ,3,10.71428571,1,3.571428571,1.571428571,2,1,0,0, ,6:44:00,5:39:00,5:40:00,4:46:00,9:24:00,7:54:00,1.857142857,0.571428571,0.571428571,1.714285714,0.285714286,0.714285714,1.571428571,0.857142857,0.714285714,2,0.571428571,2.142857143,1,0,0.5,0,0.25,0.75,1,1.5,0.571428571,1,1,1,0,1,0,0,1,0,0,0,1,0,0,4,2, ,1.285714286,1,0,2.571428571,3.714285714,4.285714286,1.428571429,3,0, , , ,0,0,2,1,0,0,0, ,7:30:00,7:00:00,7:30:00,7:07:00,9:00:00,8:00:00,3.5,2.166666667,2,1.5,2.571428571,2.714285714,0.285714286,2.166666667,1.833333333,1,2.285714286,4.142857143,1.428571429,2.25,2.75,2.75,2.25,1.5,1.75,3.5,2.307692308,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,1
343, ,2.6,5.6,0,1.4,3.6,2.8,3.6,1.2,40, ,3,10.71428571,1,3.571428571,1.285714286,0,0,0,0, ,9:26:00,9:01:00,9:21:00,9:13:00,9:40:00,8:32:00,0,0,0,0,0,3.285714286,0,0,3.333333333,0,1,2.8,0,0,0,0,0,0,0,0,999,1,1,1,1,1,999,999,1,1,0,0,1,999,5,3, ,1.428571429,5.857142857,0,2.714285714,3.714285714,3.428571429,4,1,5.714285714, ,2,7.142857143,0,0,1.714285714,2,0,0,1, ,6:30:00,6:10:00,7:46:00,7:17:00,3:21:00,3:21:00,0.142857143,0.285714286,0,3.571428571,0,0,3.2,0,0,3.571428571,0,1.428571429,3.714285714,0,0,0.5,0,0,0,0,0.076923077,0,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7, ,1.833333333,6,0,2.666666667,3.666666667,3.833333333,4,1.666666667,18.33333333, ,0,0,1,3.571428571,1.714285714,0,0,0,0, ,8:40:00,8:19:00,8:42:00,8:22:00,9:05:00,8:42:00,0.142857143,0,0,4,0,0,4,0.166666667,0,4,0,1,4,0,0,0.25,0,0,0,0,0.038461538,1,1,1,1,1,999,1,1,1,1,1,1,999,1,6,6
174, ,2.166666667,4.333333333,0,2.5,3.166666667,3.166666667,3.166666667,2,45, ,7,25,0,0,1,0,0,0,0, ,7:31:00,8:59:00,7:44:00,9:52:00,7:00:00,6:45:00,2,1.285714286,1.428571429,1.4,1.2,2.4,1,1.166666667,2.666666667,1,2.333333333,2.666666667,1.5,1,0.5,0.666666667,1.5,1.5,1.666666667,1.166666667,999,1,1,1,1,1,1,999,1,1,1,1,1,1,6,6, ,1.857142857,4,1,3,3,3,3,1,58.57142857, ,7,25,1,3.571428571,1.142857143,0,0,0,0, ,6:47:00,6:47:00,6:50:00,6:50:00,6:40:00,6:40:00,1.571428571,1.571428571,1.571428571,1.571428571,1.2,1.2,1.2,1.5,1.5,1.5,1.857142857,3.142857143,1.857142857,0.25,1,2,2,2,2,2,1.56,1,1,1,1,1,1,1,0,1,1,1,1,1,1,7,6, ,2,4,0,3,3,3,3,3,32.85714286, ,7,25,0,0,2,0,0,0,0, ,6:33:00,6:33:00,6:34:00,6:34:00,8:27:00,8:27:00,2,2,1.714285714,2,2,2,2,2,2,2,2,3.142857143,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,0,1,6,5
274, ,2.333333333,6.666666667,0,2.333333333,4,3,2.666666667,1.333333333,60, , , , , ,1.5,0,0,0,0, ,9:45:00,9:00:00,9:45:00,9:00:00, , ,0.5,0,0,0,0,3,0,0.142857143,3.142857143,0.333333333,1.333333333,2.666666667,0,0,0,0,0,0.333333333,0,0.0625,999,999,999,1,1,1,999,999,999,999,1,0,1,999, , , ,1.5,6,0,2.5,4,4,2,1,85, , , ,1,3.571428571,0,0,0,0,0, ,6:56:00,6:46:00,5:15:00,5:00:00,10:20:00,10:20:00,0.5,0,0,1,0,0.25,1.5,0,0,1.333333333,0,0.5,1.5,0,0,0,0,0,0,0,0,1,999,1,999,999,999,999,0,999,1,999,999,999,999, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,999,999,999,999,999,999,999,999,999,999,999,999,999,999, , 
307, ,1.8,3.2,0,2.6,2.8,2,2.8,1.6,26, ,10,35.71428571,0,0,1.571428571,1,0,0,0, ,9:15:00,8:56:00,9:43:00,9:25:00,8:05:00,7:45:00,0.714285714,1.428571429,1.571428571,1.333333333,1.166666667,0.5,1.285714286,1.857142857,1.142857143,1.2,2.6,1.8,0.5,1.25,1.25,1.75,1.25,1,1.75,1.32,999,0,0,0,0,999,0,999,0,0,0,0,999,0,0,0, ,0.714285714,3.714285714,0,3.142857143,3.857142857,4,3.142857143,1.714285714,27.14285714, , , ,0,0,2,2,0,0,0, ,7:09:00,6:59:00,7:40:00,7:30:00,6:09:00,5:58:00,0.666666667,1.166666667,1.333333333,0.166666667,0.857142857,1.142857143,0.142857143,1.6,1.4,0.6,1,3,0.285714286,0,1,0.5,1.75,1.5,1.5,2,1.12,0,0,1,1,1,1,0,1,0,1,1,1,1,0,4,5, ,1.333333333,3,0,3.5,4.166666667,3.666666667,2.166666667,2.5,1.666666667, ,14,50,0,0,2.571428571,2,0,0,0, ,7:41:00,7:29:00,7:13:00,7:02:00,7:57:00,7:45:00,1.857142857,2.714285714,2.714285714,0.285714286,2,2.285714286,0.714285714,2.571428571,2.428571429,0.428571429,2.5,4,0.666666667,3,2.25,2,1.75,2.75,1.75,3.5,2.444444444,0,0,999,0,1,1,0,0,0,999,1,1,1,0,2,3
117, ,1.833333333,4.833333333,0,2.5,3.833333333,3.5,3.333333333,1.5,68.33333333, ,12,42.85714286,1,3.571428571,0.285714286,0,0,0,0, ,9:16:00,8:56:00,9:01:00,8:43:00,9:52:00,9:30:00,1.571428571,1.714285714,1.714285714,1.5,1.5,1.333333333,1.833333333,1.833333333,1.5,1.833333333,3.166666667,1.333333333,2,1.25,1.75,2,1.75,1.75,1.75,1.72,999,1,1,1,1,1,1,999,1,0,0,1,1,1,6,4, ,1,4.833333333,0,3.166666667,3.333333333,3.166666667,3.166666667,1,51.66666667, ,8,28.57142857,0,0,0.333333333,0,0,0,0, ,8:39:00,8:25:00,8:13:00,8:00:00,9:30:00,9:15:00,1.5,0.714285714,1.666666667,1.333333333,0.714285714,1.142857143,0.857142857,1,1.75,1.25,0.666666667,2.666666667,1.5,0,0.5,1.333333333,0.5,1.666666667,1,0.5,0.75,1,1,1,1,999,0,1,1,1,1,0,999,0,0,5,3, ,1.428571429,3.714285714,0,3.285714286,3.428571429,3.428571429,3,1.571428571,62.85714286, ,8,28.57142857,1,3.571428571,0.857142857,0,0,0,0, ,8:34:00,8:00:00,8:26:00,7:54:00,9:15:00,8:45:00,1.857142857,1.428571429,1.571428571,1.142857143,2,2.142857143,1.142857143,1.714285714,1.857142857,1.428571429,1.571428571,2.857142857,1.571428571,0,2.25,2.25,1.75,2,2,1.5,1.678571429,1,1,1,1,1,1,1,0,1,0,0,0,0,0,7,1
183, ,2.333333333,6,0,1,3.666666667,3,3.666666667,1,42, ,5,17.85714286,0,0,0.666666667,0,0,0,0, ,8:50:00,8:50:00,8:11:00,8:11:00,10:30:00,10:30:00,0,0,0,0,0,3.833333333,0,0,4,0,1,4,0,0,0,0,0,0,0,0,999,0,0,0,0,0,1,999,0,0,0,1,0,1,1,2, ,1.75,5.75,0,1,2.25,2.75,3.5,1,53.33333333, ,4,14.28571429,1,3.571428571,0.6,0,0,0,0, ,8:29:00,8:09:00,7:51:00,7:21:00,9:45:00,9:45:00,0,0,0,3.4,0,0,3.2,0,0,3.8,0,0.75,3.75,0,0,0,0,0,0,0,0,999,999,0,999,1,999,999,999,999,0,999,0,999,999, , , ,2,6.166666667,0,1.166666667,1.833333333,2.333333333,3.5,1,28.33333333, , , ,1,3.571428571,1,0,0,0,0, ,9:09:00,9:09:00,9:07:00,9:07:00,8:00:00,8:00:00,0.166666667,0,0.166666667,3.833333333,0,0,4,0,0,4,0,1,4,0,0,0,0,0,0,0,0,999,0,0,0,0,1,0,999,0,0,0,0,0,0,1,0
