PrePost,Type,u,p
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_EMA_EVENING : WEEK1_EMA_EVENING,,
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_PRODUCTIVE : WEEK1_PRODUCTIVE,428.0,0.7509637373048925
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_BELONGING : WEEK1_BELONGING,290.0,0.2278232544305827
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_DISCRIMINATION : WEEK1_DISCRIMINATION,377.5,0.7476588683584777
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_EMO_DRAINED : WEEK1_EMO_DRAINED,292.0,0.23658646701451547
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_TALKSTRESS : WEEK1_TALKSTRESS,418.5,0.8327385265444275
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_LITTLESLEEP : WEEK1_LITTLESLEEP,426.5,0.763890203894654
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_PROFCARES : WEEK1_PROFCARES,400.5,0.9911199811827006
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_HOMESICK : WEEK1_HOMESICK,414.0,0.8672883503149849
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_EXERCISE : WEEK1_EXERCISE,417.5,0.8414821949811382
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_EMA_MORNING : WEEK1_EMA_MORNING,,
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_ACTIVITY_ACADEMIC : WEEK1_ACTIVITY_ACADEMIC,432.0,0.7112522701816327
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_ACADEMIC_percentage : WEEK1_ACADEMIC_percentage,475.0,0.38981964908771527
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_ACTIVITY_PERSONAL : WEEK1_ACTIVITY_PERSONAL,467.0,0.3995738416386352
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_PERSONAL_percentage : WEEK1_PERSONAL_percentage,465.0,0.4136866823390123
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_TIRED_AM : WEEK1_TIRED_AM,397.0,0.986701819697874
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_DRINK : WEEK1_DRINK,466.0,0.4037645338989181
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_DRUGS : WEEK1_DRUGS,430.5,0.49003583535093564
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_drinkdrugs_alone : WEEK1_drinkdrugs_alone,406.0,0.8157677922860318
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_negative_cons : WEEK1_negative_cons,441.0,0.4063854170348129
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_SLEEP : WEEK1_SLEEP,,
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_HrsBed_Avg : WEEK1_HrsBed_Avg,326.5,0.42404707855026513
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_HrsAsleep_Avg : WEEK1_HrsAsleep_Avg,308.0,0.31497399864841
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_HrsBed_Weekday_Avg : WEEK1_HrsBed_Weekday_Avg,320.5,0.38646045717289446
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_HrsAsleep_Weekday_Avg : WEEK1_HrsAsleep_Weekday_Avg,323.5,0.4050024285254382
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_HrsBed_Weekend_Avg : WEEK1_HrsBed_Weekend_Avg,393.0,0.9512962164369467
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_HrsAsleep_Weekend_Avg : WEEK1_HrsAsleep_Weekend_Avg,388.0,0.9071851648304855
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_TODAY_STRESSFUL : WEEK1_TODAY_STRESSFUL,402.0,0.9778325501991406
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_M_STRESS : WEEK1_M_STRESS,453.5,0.5476028477503023
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_M_CONTROL : WEEK1_M_CONTROL,431.5,0.7212801622700813
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_A1_STRESS : WEEK1_A1_STRESS,462.5,0.4827532906522115
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_A1_CONTROL : WEEK1_A1_CONTROL,578.0,0.04687327778728256
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_A1_SUCCESS_COPING : WEEK1_A1_SUCCESS_COPING,455.0,0.5373007027247738
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_A2_STRESS : WEEK1_A2_STRESS,472.5,0.4163801906456287
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_A2_CONTROL : WEEK1_A2_CONTROL,542.0,0.11205102789439242
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_A2_SUCCESS_COPING : WEEK1_A2_SUCCESS_COPING,380.0,0.8370386079941102
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_E_STRESS : WEEK1_E_STRESS,406.0,0.9423003622345448
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_E_CONTROL : WEEK1_E_CONTROL,486.0,0.3345531426180992
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_E_SUCCESS_COPING : WEEK1_E_SUCCESS_COPING,396.0,0.9778171118556441
pre_Norm_post_Norm : pre_Norm_post_High,D1_W1_Stress : D1_W1_Stress,421.0,0.8095343662074982
pre_Norm_post_Norm : pre_Norm_post_High,D2_W1_Stress : D2_W1_Stress,346.0,0.5561054220866298
pre_Norm_post_Norm : pre_Norm_post_High,D3_W1_Stress : D3_W1_Stress,394.0,0.9591636380548548
pre_Norm_post_Norm : pre_Norm_post_High,D4_W1_Stress : D4_W1_Stress,535.0,0.12273530977394072
pre_Norm_post_Norm : pre_Norm_post_High,D5_W1_Stress : D5_W1_Stress,520.0,0.17427053765222
pre_Norm_post_Norm : pre_Norm_post_High,D6_W1_Stress : D6_W1_Stress,462.5,0.47826405026273766
pre_Norm_post_Norm : pre_Norm_post_High,D7_W1_Stress : D7_W1_Stress,490.5,0.3080874782613473
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_STRESS : WEEK1_STRESS,451.5,0.5636344162027299
pre_Norm_post_Norm : pre_Norm_post_High,D1_W1_GaveSupport : D1_W1_GaveSupport,582.0,0.042652163767785946
pre_Norm_post_Norm : pre_Norm_post_High,D2_W1_GaveSupport : D2_W1_GaveSupport,440.5,0.6204781682829454
pre_Norm_post_Norm : pre_Norm_post_High,D3_W1_GaveSupport : D3_W1_GaveSupport,418.0,0.8225228367174716
pre_Norm_post_Norm : pre_Norm_post_High,D4_W1_GaveSupport : D4_W1_GaveSupport,383.5,0.8538454690167687
pre_Norm_post_Norm : pre_Norm_post_High,D5_W1_GaveSupport : D5_W1_GaveSupport,349.0,0.5376500478718871
pre_Norm_post_Norm : pre_Norm_post_High,D6_W1_GaveSupport : D6_W1_GaveSupport,368.0,0.7110555321040662
pre_Norm_post_Norm : pre_Norm_post_High,D7_W1_GaveSupport : D7_W1_GaveSupport,233.0,0.04334973477747953
pre_Norm_post_Norm : pre_Norm_post_High,D1_W1_ReceivedSupport : D1_W1_ReceivedSupport,579.0,0.046189620206066796
pre_Norm_post_Norm : pre_Norm_post_High,D2_W1_ReceivedSupport : D2_W1_ReceivedSupport,378.0,0.8051487566280674
pre_Norm_post_Norm : pre_Norm_post_High,D3_W1_ReceivedSupport : D3_W1_ReceivedSupport,406.0,0.9372834034339341
pre_Norm_post_Norm : pre_Norm_post_High,D4_W1_ReceivedSupport : D4_W1_ReceivedSupport,378.5,0.8059343310813635
pre_Norm_post_Norm : pre_Norm_post_High,D5_W1_ReceivedSupport : D5_W1_ReceivedSupport,258.0,0.08150313973934835
pre_Norm_post_Norm : pre_Norm_post_High,D6_W1_ReceivedSupport : D6_W1_ReceivedSupport,375.0,0.7754153150434384
