Post_PSS_sum,Post_CSSEC_Sum,Post_ISEL_sum,Post_SF_CMU_Sum,Post_LS_Sum,Post_NBS_Sum,Post_BRS_sum
0,-1,1,1,0,0,1
-1,-1,1,1,0,-1,-1
0,1,1,1,0,0,1
-1,0,1,1,1,-1,-1
1,0,1,1,0,0,1
0,1,1,1,0,0,0
-1,0,1,1,0,-1,0
-1,-1,1,1,0,0,0
1,0,1,1,0,1,1
0,0,1,1,0,-1,0
-1,0,1,1,0,0,0
0,1,1,1,0,0,1
0,0,1,1,0,0,0
-1,-1,0,1,1,0,0
-1,0,1,1,0,0,0
0,1,1,1,0,-1,0
-1,0,1,1,1,-1,-1
0,0,1,1,0,0,0
-1,1,1,1,0,-1,0
-1,0,1,1,0,-1,-1
0,0,1,1,0,-1,1
-1,0,1,1,1,0,1
0,0,1,1,0,0,1
0,0,1,1,0,0,1
1,0,1,1,-1,0,1
-1,0,1,1,0,-1,-1
0,-1,1,1,0,0,1
-1,-1,1,1,0,-1,0
-1,0,1,1,0,-1,1
0,-1,1,1,0,-1,0
0,1,1,1,0,0,0
-1,1,1,1,1,-1,0
-1,1,1,1,1,0,-1
-1,0,0,1,1,-1,-1
-1,-1,1,1,0,0,-1
0,0,1,1,0,-1,1
0,0,1,1,0,-1,0
0,1,1,1,0,-1,0
-1,0,1,1,0,-1,0
1,0,1,1,0,-1,0
0,0,1,1,0,-1,-1
0,0,1,1,0,0,1
-1,0,1,1,0,0,0
-1,0,1,1,0,-1,0
-1,0,1,1,0,-1,0
0,1,1,1,0,-1,0
0,1,1,1,0,0,0
-1,-1,1,1,0,-1,-1
0,-1,1,1,0,0,1
0,0,1,1,-1,-1,1
-1,0,1,1,0,-1,0
-1,1,1,1,0,-1,-1
0,0,1,1,0,0,0
0,1,1,1,0,0,0
-1,1,1,1,0,-1,-1
0,0,1,1,0,0,0
-1,-1,1,1,0,-1,-1
1,1,1,1,-1,-1,1
-1,1,1,1,0,0,0
0,-1,1,1,0,-1,0
0,0,1,1,0,-1,1
0,-1,1,1,0,-1,0
-1,-1,1,1,0,0,1
0,0,1,1,0,0,1
-1,0,1,1,0,-1,0
1,1,1,1,0,0,1
-1,0,1,1,0,-1,0
-1,1,1,1,0,0,0
0,-1,1,1,0,0,0
-1,-1,1,1,0,0,0
-1,0,1,1,0,-1,1
0,-1,1,1,0,-1,1
-1,-1,1,1,0,0,0
-1,-1,1,1,0,-1,0
0,1,1,1,0,0,0
0,0,1,1,0,-1,0
-1,-1,0,1,1,0,0
-1,0,1,1,1,-1,-1
0,-1,1,1,0,0,0
0,1,1,1,0,0,0
0,-1,1,1,0,-1,1
0,-1,1,1,0,-1,1
-1,0,1,1,0,0,0
0,0,0,1,1,0,1
0,0,1,1,0,-1,0
-1,0,1,1,0,-1,0
-1,1,1,1,0,0,0
0,-1,1,1,0,-1,0
-1,0,1,1,0,-1,0
0,1,1,1,0,0,1
-1,0,1,1,1,-1,-1
-1,0,1,1,1,-1,0
1,1,1,1,0,-1,1
0,0,1,1,0,-1,1
-1,-1,1,1,0,-1,0
-1,-1,1,1,0,0,1
-1,1,1,1,0,0,1
-1,-1,1,1,0,-1,0
-1,-1,1,1,0,-1,1
-1,0,1,1,0,0,0
-1,0,1,1,0,-1,0
0,0,1,1,0,0,1
-1,-1,1,1,0,-1,0
0,1,1,1,0,0,0
-1,0,1,1,0,0,0
1,0,1,1,0,0,1
-1,-1,1,1,0,-1,0
-1,-1,1,1,0,-1,0
0,0,1,1,0,0,0
0,-1,1,1,0,0,1
0,-1,1,1,0,-1,1
-1,-1,1,1,0,-1,0
-1,-1,1,1,0,-1,0
-1,1,1,1,0,0,0
-1,0,1,1,0,-1,0
0,-1,1,1,0,0,0
-1,0,1,1,0,-1,-1
0,-1,1,1,0,-1,0
-1,-1,1,1,0,-1,0
-1,0,1,1,0,-1,0
-1,0,1,1,0,-1,0
0,0,1,1,0,0,0
0,0,1,1,0,-1,1
0,1,1,1,0,-1,0
-1,1,1,1,0,-1,0
-1,-1,1,1,0,-1,0
-1,0,1,1,0,-1,1
-1,-1,1,1,0,-1,1
-1,1,1,1,0,-1,0
-1,0,1,1,0,-1,0
-1,-1,1,1,0,-1,0
-1,0,1,1,1,-1,0
-1,0,1,1,0,-1,1
-1,-1,1,1,0,0,1
-1,1,1,1,0,-1,0
-1,-1,1,1,0,-1,0
0,0,1,1,0,-1,-1
-1,-1,1,1,0,-1,-1
-1,1,1,1,-1,-1,0
0,-1,1,1,0,-1,0
-1,-1,1,1,0,-1,0
-1,0,1,1,1,-1,-1
-1,-1,1,1,0,-1,1
-1,0,1,1,0,-1,0
-1,0,1,1,0,-1,-1
0,0,1,1,0,-1,0
-1,0,1,1,0,-1,1
-1,-1,1,1,1,-1,-1
-1,-1,1,1,0,-1,0
0,0,1,1,0,-1,-1
-1,-1,1,1,0,-1,-1
0,0,1,1,0,-1,0
0,1,1,1,0,-1,1
-1,-1,1,1,1,0,0
-1,0,1,1,0,-1,0
-1,-1,1,1,1,-1,0
-1,0,1,1,0,-1,1
-1,-1,1,1,0,-1,0
-1,-1,0,1,1,-1,0
-1,1,1,1,0,-1,0
