PrePost,Surveys,u,p
preNpostN:preNpostH,Pre_PSS_sum : Pre_PSS_sum,745.5,0.05736017400138388
preNpostN:preNpostH,Pre_CSSEC_Sum : Pre_CSSEC_Sum,735.5,0.07141712413615388
preNpostN:preNpostH,Pre_ISEL_Sum : Pre_ISEL_Sum,360.5,0.09747882067862998
preNpostN:preNpostH,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,581.5,0.7042246304252151
preNpostN:preNpostH,Pre_LS_Sum : Pre_LS_Sum,642.0,0.34760356395097136
preNpostN:preNpostH,Pre_NBS_Sum : Pre_NBS_Sum,566.0,0.8133037503134699
preNpostN:preNpostH,Pre_BRS_Sum : Pre_BRS_Sum,501.0,0.7208220297832753
preNpostN:preNpostL,Pre_PSS_sum : Pre_PSS_sum,384.5,0.782772367311642
preNpostN:preNpostL,Pre_CSSEC_Sum : Pre_CSSEC_Sum,206.5,0.07964278849895938
preNpostN:preNpostL,Pre_ISEL_Sum : Pre_ISEL_Sum,317.0,0.6258253315616258
preNpostN:preNpostL,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,512.0,0.08219435530928017
preNpostN:preNpostL,Pre_LS_Sum : Pre_LS_Sum,251.5,0.21553468805457532
preNpostN:preNpostL,Pre_NBS_Sum : Pre_NBS_Sum,249.5,0.2068069930679347
preNpostN:preNpostL,Pre_BRS_Sum : Pre_BRS_Sum,618.0,0.0030631807941504563
preNpostN:preHpostN,Pre_PSS_sum : Pre_PSS_sum,1365.0,0.00013047495294099982
preNpostN:preHpostN,Pre_CSSEC_Sum : Pre_CSSEC_Sum,1133.5,0.033063675117383666
preNpostN:preHpostN,Pre_ISEL_Sum : Pre_ISEL_Sum,585.5,0.06424295432392199
preNpostN:preHpostN,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,240.5,1.2854312924793922e-05
preNpostN:preHpostN,Pre_LS_Sum : Pre_LS_Sum,1167.5,0.017272181322650477
preNpostN:preHpostN,Pre_NBS_Sum : Pre_NBS_Sum,1122.0,0.04026719805194247
preNpostN:preHpostN,Pre_BRS_Sum : Pre_BRS_Sum,298.0,7.692958938452087e-05
preNpostN:preLpostN,Pre_PSS_sum : Pre_PSS_sum,17.0,0.00035914162015486024
preNpostN:preLpostN,Pre_CSSEC_Sum : Pre_CSSEC_Sum,179.0,0.12896593267802908
preNpostN:preLpostN,Pre_ISEL_Sum : Pre_ISEL_Sum,273.0,0.7381355179576403
preNpostN:preLpostN,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,532.5,0.003421726799462231
preNpostN:preLpostN,Pre_LS_Sum : Pre_LS_Sum,184.5,0.14697322758661888
preNpostN:preLpostN,Pre_NBS_Sum : Pre_NBS_Sum,44.0,0.0012626291195552222
preNpostN:preLpostN,Pre_BRS_Sum : Pre_BRS_Sum,584.0,0.0003374942565775234
preNpostN:preHpostH,Pre_PSS_sum : Pre_PSS_sum,673.0,0.00033183804036983876
preNpostN:preHpostH,Pre_CSSEC_Sum : Pre_CSSEC_Sum,596.5,0.006859126478674024
preNpostN:preHpostH,Pre_ISEL_Sum : Pre_ISEL_Sum,179.5,0.0389154201563073
preNpostN:preHpostH,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,101.0,0.003020232714785396
preNpostN:preHpostH,Pre_LS_Sum : Pre_LS_Sum,558.5,0.0231694735968052
preNpostN:preHpostH,Pre_NBS_Sum : Pre_NBS_Sum,636.0,0.00157153845955917
preNpostN:preHpostH,Pre_BRS_Sum : Pre_BRS_Sum,60.0,0.0005738282234641234
preNpostN:preLpostL,Pre_PSS_sum : Pre_PSS_sum,0.0,0.0
preNpostN:preLpostL,Pre_CSSEC_Sum : Pre_CSSEC_Sum,0.0,0.0
preNpostN:preLpostL,Pre_ISEL_Sum : Pre_ISEL_Sum,0.0,0.0
preNpostN:preLpostL,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,0.0,0.0
preNpostN:preLpostL,Pre_LS_Sum : Pre_LS_Sum,0.0,0.0
preNpostN:preLpostL,Pre_NBS_Sum : Pre_NBS_Sum,0.0,0.0
preNpostN:preLpostL,Pre_BRS_Sum : Pre_BRS_Sum,0.0,0.0
preNpostN:preLpostH,Pre_PSS_sum : Pre_PSS_sum,0.0,0.0
preNpostN:preLpostH,Pre_CSSEC_Sum : Pre_CSSEC_Sum,0.0,0.0
preNpostN:preLpostH,Pre_ISEL_Sum : Pre_ISEL_Sum,0.0,0.0
preNpostN:preLpostH,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,0.0,0.0
preNpostN:preLpostH,Pre_LS_Sum : Pre_LS_Sum,0.0,0.0
preNpostN:preLpostH,Pre_NBS_Sum : Pre_NBS_Sum,0.0,0.0
preNpostN:preLpostH,Pre_BRS_Sum : Pre_BRS_Sum,0.0,0.0
preNpostN:preHpostL,Pre_PSS_sum : Pre_PSS_sum,0.0,0.0
preNpostN:preHpostL,Pre_CSSEC_Sum : Pre_CSSEC_Sum,0.0,0.0
preNpostN:preHpostL,Pre_ISEL_Sum : Pre_ISEL_Sum,0.0,0.0
preNpostN:preHpostL,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,0.0,0.0
preNpostN:preHpostL,Pre_LS_Sum : Pre_LS_Sum,0.0,0.0
preNpostN:preHpostL,Pre_NBS_Sum : Pre_NBS_Sum,0.0,0.0
preNpostN:preHpostL,Pre_BRS_Sum : Pre_BRS_Sum,0.0,0.0
preNpostN:preNpostN,Pre_PSS_sum : Post_PSS_sum,1760.5,4.311745420921207e-24
preNpostN:preNpostN,Pre_CSSEC_Sum : Post_CSSEC_Sum,8934.5,0.001262131850148505
preNpostN:preNpostN,Pre_ISEL_Sum : Post_ISEL_sum,6571.0,0.2418435593988737
preNpostN:preNpostN,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,6.83648716652244e-41
preNpostN:preNpostN,Pre_LS_Sum : Post_LS_Sum,7215.5,0.9777277138564074
preNpostN:preNpostN,Pre_NBS_Sum : Post_NBS_Sum,7808.5,0.25748399484176465
preNpostN:preNpostN,Pre_BRS_Sum : Post_BRS_sum,8066.0,0.10643883927511628
preNpostN:preNpostH,Pre_PSS_sum : Post_PSS_sum,84.0,2.4294856231495558e-05
preNpostN:preNpostH,Pre_CSSEC_Sum : Post_CSSEC_Sum,559.0,0.8641953438588772
preNpostN:preNpostH,Pre_ISEL_Sum : Post_ISEL_sum,683.0,0.18705320201440212
preNpostN:preNpostH,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,5.918007612091871e-07
preNpostN:preNpostH,Pre_LS_Sum : Post_LS_Sum,466.5,0.4992709606501682
preNpostN:preNpostH,Pre_NBS_Sum : Post_NBS_Sum,609.5,0.5228851939245999
preNpostN:preNpostH,Pre_BRS_Sum : Post_BRS_sum,748.0,0.054146979306054825
preNpostN:preNpostL,Pre_PSS_sum : Post_PSS_sum,170.5,0.029914300541099375
preNpostN:preNpostL,Pre_CSSEC_Sum : Post_CSSEC_Sum,438.0,0.37462403287575774
preNpostN:preNpostL,Pre_ISEL_Sum : Post_ISEL_sum,231.5,0.1419788638680727
preNpostN:preNpostL,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,3.726264940614619e-05
preNpostN:preNpostL,Pre_LS_Sum : Post_LS_Sum,513.0,0.08034639159545083
preNpostN:preNpostL,Pre_NBS_Sum : Post_NBS_Sum,422.5,0.47674779604883055
preNpostN:preNpostL,Pre_BRS_Sum : Post_BRS_sum,304.0,0.5232582968378432
preNpostN:preHpostN,Pre_PSS_sum : Post_PSS_sum,212.0,4.7682787834813285e-06
preNpostN:preHpostN,Pre_CSSEC_Sum : Post_CSSEC_Sum,1283.0,0.0012872725769724062
preNpostN:preHpostN,Pre_ISEL_Sum : Post_ISEL_sum,1007.0,0.2251635160454034
preNpostN:preHpostN,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,9.76304746163517e-10
preNpostN:preHpostN,Pre_LS_Sum : Post_LS_Sum,902.5,0.6516490142586763
preNpostN:preHpostN,Pre_NBS_Sum : Post_NBS_Sum,1148.0,0.02507595783444335
preNpostN:preHpostN,Pre_BRS_Sum : Post_BRS_sum,660.5,0.19102625285864816
preNpostN:preLpostN,Pre_PSS_sum : Post_PSS_sum,115.0,0.019763411142443517
preNpostN:preLpostN,Pre_CSSEC_Sum : Post_CSSEC_Sum,368.0,0.39508214642959283
preNpostN:preLpostN,Pre_ISEL_Sum : Post_ISEL_sum,332.5,0.6864103921570048
preNpostN:preLpostN,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.000157777683676123
preNpostN:preLpostN,Pre_LS_Sum : Post_LS_Sum,171.5,0.10646058912453862
preNpostN:preLpostN,Pre_NBS_Sum : Post_NBS_Sum,341.0,0.609259067212597
preNpostN:preLpostN,Pre_BRS_Sum : Post_BRS_sum,435.5,0.0877591945921132
preNpostN:preHpostH,Pre_PSS_sum : Post_PSS_sum,132.0,0.00897530778008739
preNpostN:preHpostH,Pre_CSSEC_Sum : Post_CSSEC_Sum,528.0,0.05499956067253008
preNpostN:preHpostH,Pre_ISEL_Sum : Post_ISEL_sum,512.5,0.08122173340732676
preNpostN:preHpostH,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,3.726365319659587e-05
preNpostN:preHpostH,Pre_LS_Sum : Post_LS_Sum,285.0,0.39293664287425256
preNpostN:preHpostH,Pre_NBS_Sum : Post_NBS_Sum,442.5,0.3467029960541008
preNpostN:preHpostH,Pre_BRS_Sum : Post_BRS_sum,491.5,0.13195997858894956
preNpostN:preLpostL,Pre_PSS_sum : Post_PSS_sum,0.0,0.0
preNpostN:preLpostL,Pre_CSSEC_Sum : Post_CSSEC_Sum,0.0,0.0
preNpostN:preLpostL,Pre_ISEL_Sum : Post_ISEL_sum,0.0,0.0
preNpostN:preLpostL,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.0
preNpostN:preLpostL,Pre_LS_Sum : Post_LS_Sum,0.0,0.0
preNpostN:preLpostL,Pre_NBS_Sum : Post_NBS_Sum,0.0,0.0
preNpostN:preLpostL,Pre_BRS_Sum : Post_BRS_sum,0.0,0.0
preNpostN:preLpostH,Pre_PSS_sum : Post_PSS_sum,0.0,0.0
preNpostN:preLpostH,Pre_CSSEC_Sum : Post_CSSEC_Sum,0.0,0.0
preNpostN:preLpostH,Pre_ISEL_Sum : Post_ISEL_sum,0.0,0.0
preNpostN:preLpostH,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.0
preNpostN:preLpostH,Pre_LS_Sum : Post_LS_Sum,0.0,0.0
preNpostN:preLpostH,Pre_NBS_Sum : Post_NBS_Sum,0.0,0.0
preNpostN:preLpostH,Pre_BRS_Sum : Post_BRS_sum,0.0,0.0
preNpostN:preHpostL,Pre_PSS_sum : Post_PSS_sum,0.0,0.0
preNpostN:preHpostL,Pre_CSSEC_Sum : Post_CSSEC_Sum,0.0,0.0
preNpostN:preHpostL,Pre_ISEL_Sum : Post_ISEL_sum,0.0,0.0
preNpostN:preHpostL,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.0
preNpostN:preHpostL,Pre_LS_Sum : Post_LS_Sum,0.0,0.0
preNpostN:preHpostL,Pre_NBS_Sum : Post_NBS_Sum,0.0,0.0
preNpostN:preHpostL,Pre_BRS_Sum : Post_BRS_sum,0.0,0.0
