Pre_PSS_sum,Pre_CSSEC_Sum,Pre_ISEL_Sum,Pre_SCS_SF_Mean,Pre_LS_Sum,Pre_NBS_Sum,Pre_BRS_Sum
0,-1,1,0,0,-1,0
1,-1,1,0,0,-1,-1
0,-1,1,0,0,-1,0
0,-1,1,0,1,-1,1
1,0,1,1,0,0,1
0,0,1,1,0,0,1
0,0,1,0,0,0,0
0,-1,1,0,0,-1,0
1,-1,1,1,0,0,1
0,0,1,0,0,0,0
-1,0,1,0,0,-1,0
1,0,1,0,0,-1,1
1,0,1,0,0,-1,1
0,-1,1,0,0,0,0
1,-1,1,0,0,0,1
1,1,1,0,0,-1,0
-1,0,0,0,1,-1,1
1,0,1,1,0,0,1
1,1,1,0,0,-1,1
0,-1,1,0,0,-1,-1
1,0,1,0,0,-1,1
1,1,1,0,0,0,1
1,0,1,0,0,0,1
1,0,1,0,0,0,1
1,1,1,1,0,0,1
0,0,1,0,0,-1,-1
1,-1,1,1,0,0,1
0,-1,1,0,0,-1,0
0,-1,1,-1,1,-1,1
1,-1,1,1,0,-1,0
1,0,1,1,0,0,0
1,1,1,0,0,-1,0
0,-1,1,0,1,0,0
-1,-1,1,0,1,-1,0
-1,-1,1,0,0,-1,0
0,0,1,0,0,-1,0
0,0,1,0,0,-1,0
0,1,1,1,0,0,0
0,0,1,0,0,-1,1
1,0,1,0,0,-1,0
0,-1,1,0,0,-1,-1
1,-1,1,1,0,0,1
1,1,1,1,0,0,0
0,-1,1,0,0,0,1
0,0,1,0,0,-1,0
1,-1,1,0,0,-1,1
0,0,1,0,0,0,0
1,0,1,0,0,-1,0
0,-1,1,0,0,0,0
0,0,1,0,0,-1,1
0,0,1,0,0,-1,0
1,0,1,0,0,-1,0
1,0,1,0,0,-1,0
1,1,1,0,0,-1,0
0,0,1,0,1,-1,0
1,-1,0,1,1,-1,0
0,-1,1,0,0,-1,0
1,0,1,0,0,-1,1
1,-1,1,0,0,-1,1
1,0,1,1,0,-1,1
1,0,1,1,-1,-1,1
1,-1,1,0,0,-1,0
0,0,1,0,0,0,0
0,-1,1,1,0,-1,1
0,0,1,-1,1,-1,1
1,1,1,1,0,0,1
1,0,1,0,0,-1,0
1,0,1,0,0,0,0
0,-1,1,1,0,0,1
0,-1,1,0,0,0,0
1,0,1,1,0,-1,1
-1,-1,1,0,1,-1,-1
0,-1,1,0,1,0,0
0,0,1,0,0,-1,0
1,0,1,0,0,-1,1
0,0,1,1,0,-1,1
0,0,1,0,1,0,0
-1,0,1,-1,1,-1,-1
1,-1,1,0,0,-1,0
1,0,1,1,0,-1,0
1,-1,1,0,0,0,1
0,-1,1,1,1,0,0
1,0,1,0,0,-1,1
1,-1,1,0,1,0,1
1,-1,1,1,0,-1,0
0,0,1,0,1,-1,0
0,1,1,0,0,-1,0
1,-1,1,0,0,-1,0
0,0,1,0,0,-1,1
1,0,1,1,0,-1,0
-1,-1,1,-1,1,-1,-1
0,0,1,0,1,-1,0
1,1,1,0,0,0,1
1,0,1,1,0,0,1
0,0,1,0,0,-1,0
0,-1,1,1,0,0,1
0,0,1,0,0,0,1
-1,-1,1,0,0,-1,1
1,0,1,0,0,-1,0
0,-1,1,0,0,-1,0
0,-1,1,0,0,0,1
1,1,1,1,0,0,1
0,-1,1,0,0,-1,1
0,0,1,0,0,0,0
0,0,1,1,0,0,1
1,-1,1,0,0,-1,1
-1,-1,1,0,0,-1,-1
0,-1,1,0,0,-1,0
0,-1,1,1,0,-1,0
0,-1,1,0,0,0,1
1,-1,1,1,0,0,1
0,-1,1,0,0,-1,0
0,0,1,1,0,-1,0
0,0,1,0,0,-1,1
1,-1,1,0,0,-1,-1
0,-1,0,1,0,0,0
1,0,1,0,0,0,0
1,-1,1,0,0,-1,1
0,-1,1,0,0,-1,1
-1,-1,1,0,0,-1,-1
0,0,1,1,0,-1,0
0,0,1,0,0,-1,0
1,1,1,0,0,-1,-1
1,1,1,0,0,-1,0
0,0,1,0,0,-1,0
0,-1,1,0,0,-1,0
0,-1,1,1,0,-1,1
-1,-1,1,0,0,0,1
0,1,1,1,0,-1,1
0,-1,1,0,0,-1,0
0,-1,1,1,0,0,1
1,0,1,0,0,-1,0
1,-1,1,0,0,-1,1
1,-1,1,0,0,0,0
0,0,1,0,0,-1,0
-1,-1,1,0,0,-1,0
0,-1,1,0,0,-1,-1
0,-1,1,0,0,-1,-1
0,0,1,0,0,-1,0
1,0,1,0,0,-1,1
0,-1,1,0,0,-1,0
-1,0,1,0,0,-1,-1
1,0,1,0,0,-1,0
0,-1,1,0,0,-1,0
0,1,1,0,0,-1,0
0,-1,1,0,0,-1,0
0,0,1,0,0,-1,0
1,-1,1,0,1,-1,-1
0,-1,1,0,0,-1,1
1,-1,1,0,0,-1,0
0,-1,1,0,0,-1,-1
1,0,1,1,0,-1,1
1,0,1,0,0,0,1
0,-1,1,0,0,0,0
1,-1,1,0,0,0,0
0,-1,1,0,0,-1,1
0,0,1,0,0,-1,0
1,-1,1,0,1,-1,0
0,-1,0,0,1,-1,1
0,0,1,0,0,-1,0
